,直營店,加盟店,縣市,地區,店鋪名稱,店鋪號,服務編號,地址,電話-1,電話-2
全家基隆新崙店,,O,基隆市,安樂區,基隆新崙,023500,63252,基隆市安樂區基金一路208巷92之6號一樓,02-,02-24313410
全家基隆基金店,,O,基隆市,安樂區,基隆基金,016993,10992,基隆市安樂區基金三路145號,02-77230676,02-24329658
全家基隆金城店,,O,基隆市,安樂區,基隆金城,016582,56298,基隆市安樂區麥金路231-1號,02-77463352,02-34012667
全家基隆長樂店,,O,基隆市,安樂區,基隆長樂,022699,16787,基隆市安樂區麥金路222號地下一樓(基隆長庚醫院),02-77467114,02-24331198
全家基隆鑫樂富店,,O,基隆市,安樂區,基隆鑫樂富,023062,63062,基隆市安樂區樂利二街62巷225號,02-,02-24349184
全家基隆龍騰店,,O,基隆市,安樂區,基隆龍騰,021828,52668,基隆市安樂區樂利三街8巷16號底四層,02-77230205,02-24334303
全家基隆新樂群店,,O,基隆市,安樂區,基隆新樂群,018585,54212,基隆市安樂區樂利三街128號,02-77304106,02-24337917
全家基隆樂利店,,O,基隆市,安樂區,基隆樂利,019962,54876,基隆市安樂區樂利三街32巷12號,02-77292537,02-24322426
全家八堵車站店,,O,基隆市,暖暖區,八堵車站,023688,58557,基隆市暖暖區八堵路142號,02-77231734,02-24567770
全家基隆暖盛店,,O,基隆市,暖暖區,基隆暖盛,021336,61336,基隆市暖暖區暖暖街220號壹樓及夾層,02-77413011,02-24584927
全家基隆暖東店,,O,基隆市,暖暖區,基隆暖東,021983,16872,基隆市暖暖區暖暖街163號,02-77096374,02-24582882
全家基隆暖鑫店,,O,基隆市,暖暖區,基隆暖鑫,021132,56917,基隆市暖暖區暖暖街461號壹樓,02-77097456,02-24586460
全家基隆暖錠店,,O,基隆市,暖暖區,基隆暖錠,023329,52684,基隆市暖暖區源遠路189號,02-77230603,02-24594800
全家基隆瑞發店,,O,基隆市,暖暖區,基隆瑞發,022899,62899,基隆市暖暖區源遠路275-11號,02-,02-24583547
全家基隆暖港店,,O,基隆市,暖暖區,基隆暖港,021672,16419,基隆市暖暖區過港路254號,02-77230685,02-24574786
全家基隆吉市店,,O,基隆市,暖暖區,基隆吉市,024844,54942,基隆市暖暖區碇內街188-9號壹樓及夾層,02-77464253,02-24587239
全家七堵工明店,,O,基隆市,七堵區,七堵工明,017681,50268,基隆市七堵區工建路1-15號壹樓,02-77230551,02-24519520
全家七堵永富店,,O,基隆市,七堵區,七堵永富,022013,15827,基隆市七堵區永平里永富路120號、崇智街48號一樓,02-77230552,02-24558170
全家七堵自治店,,O,基隆市,七堵區,七堵自治,019672,55529,基隆市七堵區自治街6號,02-77337902,02-24554377
全家七堵新明德店,O,,基隆市,七堵區,七堵新明德,017207,50035,基隆市七堵區明德二路15-53號,02-77230556,02-24517467
全家七堵東新店,,O,基隆市,七堵區,七堵東新,021907,61907,基隆市七堵區東新街67號壹樓,02-77510019,02-27678206
全家七堵長安店,,O,基隆市,七堵區,七堵長安,023592,52391,基隆市七堵區長安街212巷2-4號一樓及地下室,02-77136820,02-24519266
全家七堵大興店,,O,基隆市,七堵區,七堵大興,015563,11444,基隆市七堵區南興路30號1樓,02-77230557,02-24560059
全家七堵泰安店,,O,基隆市,七堵區,七堵泰安,023003,63003,基隆市七堵區泰安路23-12號,02-,02-24519733
全家基隆百福店,O,,基隆市,七堵區,基隆百福,017151,15172,基隆市七堵區百福里福二街204號1樓,02-77230553,02-24529098
全家新德店,,O,臺北市,中正區,新德,024080,53115,臺北市中正區八德路一段43巷2號,02-77463163,02-23214351
全家台大醫院店,,O,臺北市,中正區,台大醫院,018527,58527,臺北市中正區中山南路7號B1樓,02-,02-33223538
全家新惠安店,,O,臺北市,中正區,新惠安,021130,52555,臺北市中正區中華路二段307巷46號,02-77300717,02-23036887
全家南機場店,,O,臺北市,中正區,南機場,024174,18805,臺北市中正區中華路二段311巷1號1樓,02-77095865,02-23039420
全家高鐵一店,,O,臺北市,中正區,高鐵一,023506,58519,臺北市中正區北平西路3號B1東側,02-77305337,02-23619736
全家高鐵二店,,O,臺北市,中正區,高鐵二,023508,58520,臺北市中正區北平西路3號B1西側,02-77305663,02-23148950
全家台鐵西店,,O,臺北市,中正區,台鐵西,024037,58558,臺北市中正區北平西路3號(西南站),02-77231903,02-23141492
全家台鐵北店,,O,臺北市,中正區,台鐵北,023789,58559,臺北市中正區北平西路3號(西北站),02-77231907,02-23142838
全家台鐵二店,,O,臺北市,中正區,台鐵二,023509,58560,臺北市中正區北平西路3號B1,02-77231934,02-23147112
全家台鐵南店,,O,臺北市,中正區,台鐵南,023813,58685,臺北市中正區北平西路3號(東南站),02-77306283,02-23883209
全家台鐵東店,,O,臺北市,中正區,台鐵東,023860,58686,臺北市中正區北平西路3號(東北站),02-77306635,02-23893070
全家台鐵一店,,O,臺北市,中正區,台鐵一,023510,58687,臺北市中正區北平西路3號B1,02-77306756,02-23614184
全家新龍口店,,O,臺北市,中正區,新龍口,021261,52543,臺北市中正區汀州路一段244號,02-77300715,02-23047184
全家新廈門店,,O,臺北市,中正區,新廈門,022433,54051,臺北市中正區汀州路二段38號1樓,02-77397215,02-23681443
全家金門店,,O,臺北市,中正區,金門,022692,19851,臺北市中正區汀州路二段216號1樓,02-77095860,02-23642756
全家公館店,,O,臺北市,中正區,公館,020615,10053,臺北市中正區汀州路三段251號,02-77095861,02-23688539
全家文盛店,,O,臺北市,中正區,文盛,022824,11178,臺北市中正區汀州路三段173號,02-77096364,02-23681345
全家水源店,,O,臺北市,中正區,水源,014142,11471,臺北市中正區汀州路三段261號,02-77095862,02-23642257
全家辛館店,,O,臺北市,中正區,辛館,021877,61688,臺北市中正區辛亥路一段13號,02-,02-23688257
全家和鄰店,,O,臺北市,中正區,和鄰,017366,12744,臺北市中正區和平西路一段82號1樓,02-77095869,02-23628326
全家郡王店,O,,臺北市,中正區,郡王,014575,14239,臺北市中正區延平南路68號,02-77095846,02-23719902
全家寶慶店,,O,臺北市,中正區,寶慶,022422,11554,臺北市中正區延平南路111號,02-77095843,02-23898700
全家和醫店,O,,臺北市,中正區,和醫,020430,19227,臺北市中正區延平南路159號1樓,02-77095845,02-23122560
全家亞慶店,,O,臺北市,中正區,亞慶,016918,56918,臺北市中正區忠孝西路一段50號1樓,02-77463543,02-23706675
全家凱撒店,,O,臺北市,中正區,凱撒,018141,58141,臺北市中正區忠孝西路一段38號1樓(部份),02-77286143,02-23898803
全家鴻啟店,,O,臺北市,中正區,鴻啟,016266,18916,臺北市中正區忠孝西路一段100號,02-77095867,02-23142878
全家崇聖店,,O,臺北市,中正區,崇聖,020376,60376,臺北市中正區忠孝西路一段4號,02-77301815,02-23818610
全家台北地下街店,,O,臺北市,中正區,台北地下街,023736,63736,臺北市中正區忠孝西路一段47號B1(KB112),02-,02-23142698
全家北車捷運店,,O,臺北市,中正區,北車捷運,023945,63945,臺北市中正區忠孝西路一段49號B1,02-,02-23140359
全家北車店,,O,臺北市,中正區,北車,024183,59102,臺北市中正區忠孝西路一段45號1F部分,02-77163554,02-89411871
全家善導寺店,,O,臺北市,中正區,善導寺,020189,60189,臺北市中正區忠孝東路一段9號1樓,02-77301216,02-23964652
全家兆豐店,,O,臺北市,中正區,兆豐,018710,58710,臺北市中正區忠孝東路二段93號1樓,02-77303715,02-23418109
全家富邦店,,O,臺北市,中正區,富邦,020254,60254,臺北市中正區杭州南路一段19號1F,02-77300571,02-23513120
全家文祥店,,O,臺北市,中正區,文祥,023080,11059,臺北市中正區杭州南路一段147號,02-77095850,02-23914884
全家林森南路店,,O,臺北市,中正區,林森南路,022269,10062,臺北市中正區林森南路57.59號,02-77095855,02-23519110
全家北盛店,,O,臺北市,中正區,北盛,022091,62091,臺北市中正區青島西路13號,02-77092758,02-23612673
全家南陽店,,O,臺北市,中正區,南陽,020383,10112,臺北市中正區信陽街15號,02-77095868,02-23881469
全家南海店,O,,臺北市,中正區,南海,020778,51143,臺北市中正區南海路20號,02-77095849,02-23564283
全家正陽店,,O,臺北市,中正區,正陽,020487,60487,臺北市中正區南陽街1號,02-77285863,02-23613524
全家重慶店,,O,臺北市,中正區,重慶,017294,14199,臺北市中正區重慶南路一段58號,02-77095851,02-23122797
全家台六宿舍店,,O,臺北市,中正區,台六宿舍,020054,60054,臺北市中正區徐州路2之2號1F,02-,02-33226216
全家昌盛店,,O,臺北市,中正區,昌盛,023212,61213,臺北市中正區許昌街14號1F,02-77523426,02-23123067
全家博愛店,,O,臺北市,中正區,博愛,023875,58369,臺北市中正區博愛路63號1F+B1F,02-77286631,02-23432173
全家開封店,,O,臺北市,中正區,開封,022707,16474,臺北市中正區開封街一段41號1樓,02-77095852,02-23709020
全家嶺先店,,O,臺北市,中正區,嶺先,020549,60549,臺北市中正區廈門街113巷17號1樓及地下室部分,02-77137526,02-23672038
全家教育大學店,,O,臺北市,中正區,教育大學,019181,56575,臺北市中正區愛國西路1號,02-77462653,02-23888317
全家漢盛店,,O,臺北市,中正區,漢盛,015850,55850,臺北市中正區漢口街一段18號,02-77093390,02-23117024
全家福昌店,,O,臺北市,中正區,福昌,017358,57358,臺北市中正區福州街10號1樓(部份),02-77303690,02-23913137
全家機場捷運店,,O,臺北市,中正區,機場捷運,021597,61597,臺北市中正區鄭州路8號B1樓,02-,02-23311029
全家新衡陽店,,O,臺北市,中正區,新衡陽,022908,56722,臺北市中正區衡陽路77號一樓,02-77397262,02-23711130
全家衡慶店,,O,臺北市,中正區,衡慶,017203,57203,臺北市中正區衡陽路7號1樓部分(如附圖),02-77294765,02-23820271
全家新仟囍店,O,,臺北市,中正區,新仟囍,021189,54430,臺北市中正區館前路36號1樓,02-77463019,02-23822831
全家齊東店,,O,臺北市,中正區,齊東,020431,11410,臺北市中正區濟南路二段3-7號1樓,02-77095857,02-23942076
全家富陽店,,O,臺北市,中正區,富陽,022538,12933,臺北市中正區襄陽路7號1樓,02-77136528,02-23754181
全家西站店,,O,臺北市,中正區,西站,022172,10886,臺北市中正區懷寧街7之1號,02-77136529,02-23120577
全家羅斯店,,O,臺北市,中正區,羅斯,018140,58140,臺北市中正區羅斯福路2段62號1樓,02-77286041,02-23962007
全家羅安店,,O,臺北市,中正區,羅安,023496,58528,臺北市中正區羅斯福路二段140號1樓,02-77231897,02-23654518
全家金安店,,O,臺北市,中正區,金安,020800,58768,臺北市中正區羅斯福路三段8號1+2樓,02-77285604,02-23654620
全家羅館店,,O,臺北市,中正區,羅館,021353,61353,臺北市中正區羅斯福路三段244巷7號1樓,02-77566381,02-23675612
全家館中店,,O,臺北市,中正區,館中,020447,14450,臺北市中正區羅斯福路三段316巷8弄1號1樓,02-77095872,02-23672204
全家大龍店,,O,臺北市,大同區,大龍,019761,14447,臺北市大同區大龍街133號1樓,02-77095825,02-25980054
全家蘭州店,,O,臺北市,大同區,蘭州,015569,16641,臺北市大同區大龍街217號1樓,02-77095826,02-25995380
全家泰元店,,O,臺北市,大同區,泰元,017339,56215,臺北市大同區太原路81號,02-77397543,02-25592980
全家太陽店,,O,臺北市,大同區,太陽,019755,59755,臺北市大同區太原路153號1樓,02-77301652,02-25507907
全家萬全店,,O,臺北市,大同區,萬全,023780,11354,臺北市大同區民生西路63號,02-77095827,02-25576965
全家福澤店,,O,臺北市,大同區,福澤,020429,11099,臺北市大同區民權西路146號,02-77294790,02-25572577
全家權澤店,,O,臺北市,大同區,權澤,019306,59306,臺北市大同區民權西路110號1樓及夾層,02-77096394,02-25506916
全家永樂店,,O,臺北市,大同區,永樂,023908,50875,臺北市大同區延平北路二段260號之1,02-77095832,02-25529571
全家新橋店,,O,臺北市,大同區,新橋,023998,52078,臺北市大同區延平北路三段25之3號,02-77230801,02-25996171
全家國順店,,O,臺北市,大同區,國順,018861,14516,臺北市大同區延平北路三段118號1樓,02-77095833,02-25919787
全家龍泉店,,O,臺北市,大同區,龍泉,020985,60985,臺北市大同區延平北路四段62號1樓,02-77557096,02-85961664
全家京承店,,O,臺北市,大同區,京承,021900,61900,臺北市大同區承德路一段29號1樓,02-77091287,02-25508721
全家日新店,,O,臺北市,大同區,日新,021929,14515,臺北市大同區承德路二段39&41號1樓,02-77095837,02-25505051
全家福安店,,O,臺北市,大同區,福安,022280,14437,臺北市大同區長安西路54號1樓,02-77095838,02-25509755
全家玉泉店,,O,臺北市,大同區,玉泉,017525,57525,臺北市大同區長安西路342號1樓,02-77304882,02-25522657
全家長慶店,,O,臺北市,大同區,長慶,017719,57719,臺北市大同區長安西路258號1樓,02-77300601,02-25507756
全家福山店,,O,臺北市,大同區,福山,020511,60511,臺北市大同區長安西路25號1樓全部,02-77287051,02-25526380
全家金慶店,,O,臺北市,大同區,金慶,021437,56491,臺北市大同區南京西路308號1樓,02-77463101,02-25564600
全家京鋒店,,O,臺北市,大同區,京鋒,019353,58045,臺北市大同區南京西路61號1樓,02-77300702,02-25587692
全家迪化街店,,O,臺北市,大同區,迪化街,022002,62002,臺北市大同區迪化街一段42號1、2樓,02-77092178,02-85902267
全家慶權店,,O,臺北市,大同區,慶權,018273,12707,臺北市大同區重慶北路二段263號1樓,02-77095839,02-25578978
全家龍昌店,,O,臺北市,大同區,龍昌,019247,59247,臺北市大同區重慶北路三段327號1樓(如附圖),02-77099746,02-25919144
全家慶國店,,O,臺北市,大同區,慶國,021468,61468,臺北市大同區重慶北路三段278之2號1樓,02-,02-25950170
全家酒泉店,,O,臺北市,大同區,酒泉,022729,50002,臺北市大同區庫倫街48之4號,02-77095841,02-25929575
全家鑫泉店,,O,臺北市,大同區,鑫泉,019021,59021,臺北市大同區酒泉街227號1樓,02-77287625,02-25986829
全家寧夏店,,O,臺北市,大同區,寧夏,023111,11023,"臺北市大同區寧夏路28,30,28—1,28—2號",02-77136520,02-25500930
全家甘州店,,O,臺北市,大同區,甘州,023237,50716,臺北市大同區歸綏街181之2號,02-77095842,02-25505587
全家京江店,,O,臺北市,中山區,京江,024039,18902,臺北市中山區一江街22號1樓,02-77095806,02-25678224
全家直學店,O,,臺北市,中山區,直學,023997,51865,臺北市中山區大直街11號,02-77230350,02-25328364
全家大直店,,O,臺北市,中山區,大直,018505,11115,臺北市中山區大直街33巷1號,02-77095783,02-25328875
全家市民店,,O,臺北市,中山區,市民,019476,18703,臺北市中山區中山北路一段58號,02-77294950,02-25638109
全家六條通店,,O,臺北市,中山區,六條通,023983,63983,臺北市中山區中山北路一段105巷22號1樓及地下層,02-,02-25218716
全家柯達飯店,,O,臺北市,中山區,柯達飯,022851,61939,臺北市中山區中山北路二段11巷1號、3號,02-77092182,02-25417813
全家新國賓店,,O,臺北市,中山區,新國賓,021805,56357,臺北市中山區中山北路二段75-1號1樓,02-77463013,02-25818863
全家東南店,,O,臺北市,中山區,東南,020550,60550,臺北市中山區中山北路二段60號,02-77137702,02-25317972
全家中賓店,,O,臺北市,中山區,中賓,005989,15989,臺北市中山區中山里中山北路二段59之3號1樓,02-77096471,02-25230023
全家聚葉店,,O,臺北市,中山區,聚葉,014903,16420,臺北市中山區中山北路二段137巷34號1樓,02-77294960,02-25716328
全家台鑫店,,O,臺北市,中山區,台鑫,017449,57449,臺北市中山區中山北路二段44號1樓部份,02-77303835,02-25118851
全家圓山飯店,,O,臺北市,中山區,圓山飯,023739,57899,臺北市中山區中山北路四段1巷1號1樓(麒麟廳)),02-77463590,02-28850843
全家新吉原店,,O,臺北市,中山區,新吉原,017553,54113,臺北市中山區中原街16號1樓,02-77397223,02-25113653
全家錦原店,,O,臺北市,中山區,錦原,024011,14452,臺北市中山區中原街101號1樓,02-77095828,02-25412311
全家五常店,,O,臺北市,中山區,五常,018188,14446,臺北市中山區五常街53巷23號1號,02-77136521,02-25067078
全家日津店,,O,臺北市,中山區,日津,023012,10289,臺北市中山區正義里天津街47號1樓及地下室,02-77136522,02-25635367
全家美華店,,O,臺北市,中山區,美華,015759,12905,臺北市中山區北安路819之1號,02-77095796,02-85095070
全家永安店,,O,臺北市,中山區,永安,023640,14451,臺北市中山區北安路630巷7號1樓,02-77095795,02-25322254
全家新北鄰店,,O,臺北市,中山區,新北鄰,022361,55780,臺北市中山區北安路458巷41弄48號1樓,02-77093290,02-25325010
全家松平店,,O,臺北市,中山區,松平,020662,11502,臺北市中山區四平街47號,02-77095807,02-25318666
全家雙全店,,O,臺北市,中山區,雙全,020299,60299,臺北市中山區民生西路62號1樓全部,02-77230508,02-25217082
全家新馬偕店,,O,臺北市,中山區,新馬偕,021421,61421,臺北市中山區民生西路33號1-4樓,02-77566382,02-25117837
全家福泰店,,O,臺北市,中山區,福泰,023699,14442,臺北市中山區民生東路一段36號1樓,02-77095398,02-25413026
全家玉林店,,O,臺北市,中山區,玉林,019112,14670,臺北市中山區民生東路一段27巷15號,02-77095830,02-25222731
全家民佳店,,O,臺北市,中山區,民佳,023525,57201,臺北市中山區民生東路二段155號1樓,02-77294646,02-25038763
全家民族店,,O,臺北市,中山區,民族,021201,14417,臺北市中山區民族東路410巷23弄24號,02-77095813,02-25185693
全家中山民權店,,O,臺北市,中山區,中山民權,020773,60773,臺北市中山區民權西路38之1號1樓,02-77520932,02-25113070
全家民權西路店,,O,臺北市,中山區,民權西路,022169,56511,臺北市中山區民權西路35號1樓,02-77463120,02-25994884
全家新吉林店,,O,臺北市,中山區,新吉林,023862,58815,臺北市中山區民權東路二段46號1樓,02-77287215,02-25639757
全家錦民店,,O,臺北市,中山區,錦民,018272,52465,臺北市中山區民權東路二段152巷14號,02-77300712,02-25078797
全家江寧店,,O,臺北市,中山區,江寧,022168,12520,臺北市中山區民權東路三段64號1樓,02-77136523,02-25171595
全家長通店,,O,臺北市,中山區,長通,021859,14513,臺北市中山區伊通街108號1樓,02-77095808,02-25029136
全家金通店,,O,臺北市,中山區,金通,020017,52371,臺北市中山區伊通街58號,02-77136292,02-25181554
全家德惠店,,O,臺北市,中山區,德惠,024414,10198,臺北市中山區吉林路448號,02-77095755,02-25953593
全家合江店,,O,臺北市,中山區,合江,024474,53480,臺北市中山區合江街87號一樓,02-77463827,02-25185276
全家朱崙店,,O,臺北市,中山區,朱崙,016150,16667,臺北市中山區朱崙街67號,02-77095811,02-27528615
全家明水店,,O,臺北市,中山區,明水,023635,14511,臺北市中山區明水路581巷11號1樓,02-77095797,02-85097543
全家復林店,,O,臺北市,中山區,復林,021370,16851,臺北市中山區林森北路149-1.149-2號1樓,02-77094899,02-25230478
全家金林店,,O,臺北市,中山區,金林,023784,16605,臺北市中山區林森北路109號1樓,02-77094898,02-25629847
全家長林店,,O,臺北市,中山區,長林,022981,10693,臺北市中山區林森北路107巷54號,02-77095391,02-25629310
全家林慶店,,O,臺北市,中山區,林慶,023752,57327,臺北市中山區林森北路376號1樓,02-77305394,02-25672790
全家錦富店,,O,臺北市,中山區,錦富,024884,52445,臺北市中山區林森北路428號1樓,02-77134951,02-25684923
全家新林森店,,O,臺北市,中山區,新林森,020132,52544,臺北市中山區林森北路630號1樓,02-77300716,02-25977209
全家金漾店,,O,臺北市,中山區,金漾,021521,50989,臺北市中山區林森北路308號,02-77095382,02-25219884
全家新錦林店,,O,臺北市,中山區,新錦林,022379,62379,臺北市中山區林森北路399巷24號1樓,02-77092608,02-26271008
全家欣城店,,O,臺北市,中山區,欣城,023289,63289,臺北市中山區林森北路247號1樓,02-,02-25411007
全家新林森北路店,,O,臺北市,中山區,新林森北路,023321,63321,臺北市中山區林森北路119巷50號1樓,02-,02-25114623
全家長松店,,O,臺北市,中山區,長松,023576,63576,臺北市中山區松江路50號1樓部份,02-,02-25641508
全家松江南京店,,O,臺北市,中山區,松江南京,023979,63979,臺北市中山區松江路126號B1,02-,02-25023193
全家松國店,,O,臺北市,中山區,松國,020240,60056,臺北市中山區松江路473號1樓,02-77163919,02-25024147
全家松好店,,O,臺北市,中山區,松好,018619,58619,臺北市中山區松江路61之1號1樓,02-77231913,02-25083831
全家松京店,,O,臺北市,中山區,松京,020757,60237,臺北市中山區松江路122號1樓,02-77300015,02-25715929
全家權勝店,,O,臺北市,中山區,權勝,017355,57355,臺北市中山區松江路400號1樓及地下室,02-77305911,02-25935820
全家松茂店,,O,臺北市,中山區,松茂,023644,58109,臺北市中山區松江路127之1號1樓及地下室,02-77283475,02-25028713
全家光華店,,O,臺北市,中山區,光華,023028,11139,臺北市中山區松江路24之1號,02-77096473,02-25670175
全家正義店,,O,臺北市,中山區,正義,020493,14419,臺北市中山區長安東路一段55號,02-77094806,02-25239542
全家遼寧店,,O,臺北市,中山區,遼寧,018207,19772,臺北市中山區長安東路二段216號,02-77095816,02-27405515
全家本部店,,O,臺北市,中山區,本部,017071,57071,臺北市中山區長安東路二段99號1樓及2樓,02-77294474,02-25173149
全家長賓店,,O,臺北市,中山區,長賓,023814,61058,臺北市中山區長春路15號1樓,02-77566380,02-25221603
全家春北店,,O,臺北市,中山區,春北,023795,58403,臺北市中山區長春路410號1樓,02-77286721,02-87707194
全家長春店,,O,臺北市,中山區,長春,022173,10600,臺北市中山區長春路48號,02-77094800,02-25817796
全家欣欣店,,O,臺北市,中山區,欣欣,021061,14512,臺北市中山區長春路100號1樓,02-77096472,02-25314871
全家中山捷運站店,,O,臺北市,中山區,中山捷運站,021268,61268,臺北市中山區南京西路16號B1,02-77566117,02-25507063
全家京林店,,O,臺北市,中山區,京林,022953,59375,臺北市中山區南京東路二段72號1樓、72-2號,02-77287015,02-25674711
全家鑫興亞店,,O,臺北市,中山區,鑫興亞,023227,63227,臺北市中山區南京東路二段20號1樓,02-,02-25117690
全家京貿店,,O,臺北市,中山區,京貿,023151,14196,臺北市中山區南京東路三段65號,02-77095897,02-25066873
